case_id,hm_delta,hm_dr,hm_ds,ksat,b_av,b_delta1,b_delta,alpha_i,k_nm
15,515361.0945201467,2779.427540573875,210.28104959107213,1.3457385464984697,0.42161833470623733,0.6476231664251041,0.6476218513961952,0.6510254924185752,1.086145205121983
16,528067.1311223509,3280.3068014658284,225.85321765387752,1.3953724463675177,0.43339312651251977,0.6635898034757235,0.6635887278944863,0.6531050156437125,1.0826864139258043
17,539532.3414256293,3795.0197585431647,241.74864083280102,1.4452452254771349,0.44415853892670143,0.6779973357500038,0.6779963360787429,0.6551046300567568,1.0793815084445717
18,549940.366189852,4327.628550080954,258.6797190100239,1.496037356519087,0.4540525618570081,0.6910764612976583,0.691075445733808,0.6570231436523971,1.0762296992740434
19,559396.8737021723,4847.267237849802,275.72636944361335,1.5445155511054107,0.4631324733732414,0.7029599280262779,0.7029588435455368,0.6588329852105207,1.0732733301756587
20,568108.6134254533,5367.396073839397,293.74830227113245,1.5923240218641423,0.47156644866207514,0.7139076329306446,0.7139063385513952,0.6605438601637046,1.0704937338488256
21,576151.926417106,5888.40388526525,312.8166700946824,1.6396419721336528,0.4793992272378133,0.7240153938968806,0.7240138637534349,0.6621409495565601,1.0679120149143875
22,583559.5706343779,6405.083741428777,334.1506107086367,1.6862283254677886,0.48667433539435717,0.7333245652148577,0.7333225840147902,0.66365654897728,1.06547383981924
23,590526.6913136371,6914.713588904843,355.3833491883473,1.73147663631377,0.4935263419935181,0.7420802451027196,0.7420777260718439,0.6650601744994804,1.0632258683034999
24,597097.4288281333,7432.481725779796,376.1256865316948,1.7769333500101645,0.5000054604742771,0.7503378413791243,0.7503347583535271,0.6663765138262393,1.0611263631336885
25,603334.9451048278,7940.079907584838,400.798207303045,1.821299342199325,0.5061487455205371,0.7581767482484352,0.7581730524781313,0.6675899965926796,1.0591983577339152
26,609160.8465420321,8439.306423839953,428.034167620341,1.8648149143390165,0.5119032998516952,0.7654973108250519,0.765494096140395,0.6687227274941777,1.0574034971473683
27,614698.8529034513,8946.881027153504,454.59112766018745,1.9086577583167363,0.5173719967475656,0.772456158134233,0.7724533601806222,0.6697776505582019,1.055737440409881
28,619836.3524590849,9453.33854271957,480.4707988070667,1.952152532839527,0.5224574851121029,0.7789116638084436,0.778909332525342,0.6707551999899868,1.054198159886767
29,624675.237842887,9952.900983405716,511.58497505458865,1.99532221892474,0.5272588927694994,0.7849920690281187,0.7849900552346682,0.6716758884440625,1.0527526852545686
30,629247.4159459383,10460.259947077426,542.5129265567746,2.038979172345651,0.5317775878000162,0.7907374117762047,0.7907356236904484,0.6725099665020186,1.0514466928138497
31,633600.7684459636,10970.142176189149,573.0327075074398,2.082571439795232,0.5360619210457885,0.7962077794476398,0.7962062077834747,0.6732702104120853,1.0502591174216591
32,637685.3800711542,11477.424078117832,603.8539889378608,2.125834443283222,0.5400765374316291,0.8013405320464413,0.8013390821332613,0.6739675494097707,1.04917226536879
33,641491.3206874988,11971.104318991185,637.4941658051047,2.168099998935694,0.543832377217366,0.8061231374661417,0.8061217681653841,0.6746280756752785,1.0481449079775056
34,645150.0822548377,12485.143323741311,671.1652971091031,2.2120080817826455,0.5474287557838062,0.8107208355756288,0.8107195035498597,0.6752381722492249,1.0471978215027284
35,648628.9211794279,13003.379049321979,703.9157672234383,2.256055121187246,0.5508415302710951,0.8150924733393996,0.8150911414732654,0.6758036031105147,1.0463216433749138
36,651860.7401448637,13492.806388017874,735.1596586882288,2.2973612334232145,0.5540404843365065,0.8191537718735564,0.8191523649610836,0.6763582796502431,1.0454636498630387
37,654939.9698413241,14002.032549924897,767.529561223008,2.340471197750875,0.5570926214623464,0.8230233132061605,0.8230218391183298,0.6768868029785665,1.044647413055049
38,657907.2836552932,14515.871753062476,803.608511792059,2.3842072136927364,0.5600146674195543,0.8267522023791319,0.8267506756298741,0.6773682609849669,1.0439049594128258
39,660794.2801089296,15060.957595819764,838.5757433018322,2.430400336804409,0.5628315315225377,0.8303801297705254,0.8303785823697477,0.6778011180350053,1.0432383188179493
40,663523.456504506,15552.661429958001,872.7875388486743,2.471719158783313,0.5655109329352885,0.8338098449846545,0.833808166575625,0.6782266660421318,1.0425839029291062
41,666096.9548318996,16007.251984368288,904.6843613513583,2.5095310887927695,0.5680532524816179,0.8370439152201441,0.8370421199513712,0.6786435699491675,1.0419435607795495
42,668561.1481817394,16568.269219468148,939.9819767534626,2.5570403248986042,0.5704811163877619,0.8401405968792484,0.8401387166413238,0.6790320515978726,1.0413475505815606
43,670908.7883324061,17099.57432168475,976.7519664854277,2.6020145531088907,0.5728047351098033,0.8430908091911496,0.8430888482615666,0.6794120646844232,1.0407651888925744
44,673197.7447571782,17581.961455737026,1014.406262689127,2.642620102684486,0.5750543419984281,0.8459672419067997,0.8459652357369472,0.6797611978670495,1.0402306873036595
45,675403.5022176632,18084.92828295298,1051.378282690406,2.684887328892011,0.5772302819626086,0.8487391333474829,0.8487370723103314,0.6801049474501459,1.0397049763360726
46,677528.3070475305,18620.024270520527,1088.8443959202846,2.7299327813961076,0.5793227644251745,0.8514094247330709,0.8514071808078607,0.6804297373619542,1.039208908685395
47,679561.5779167667,19171.106024896035,1125.5699818370356,2.7762499653720987,0.5813253253068418,0.8539647263176209,0.853962264338081,0.6807388916153524,1.0387372140626694
48,681520.087633091,19649.355514998573,1161.0769292944383,2.8160648388380607,0.5832616603230326,0.8564259967934676,0.8564234002327963,0.6810435821399651,1.0382726503602404
49,683447.7228830482,20176.726070276756,1203.907447673883,2.860699140966964,0.5851515829442476,0.8588484323559731,0.8588457381288228,0.6813232655949649,1.0378465481963959
50,685302.6778175194,20736.423282828328,1246.3146495803007,2.908025832757244,0.5869736122985058,0.8611794662542629,0.8611767432467727,0.6815948258025667,1.0374330764588462
51,687089.7054138962,21275.4793903855,1288.577474391516,2.9535036735059563,0.588739434197114,0.8634251716039392,0.8634223883541886,0.6818672322353593,1.0370186850502234
52,688816.98974897,21754.40718794732,1332.0216513944592,2.9938844511639333,0.5904481450418327,0.8655958655185748,0.8655929578652801,0.6821314102392795,1.0366172057867309
53,690501.6237747588,22270.59809229196,1372.9967079601583,3.03713143720482,0.5921085199012225,0.8677129130097078,0.8677099314170421,0.6823807109528645,1.0362385682520734
54,692143.132909941,22802.427010927575,1415.9393101096146,3.0818224274206774,0.5937226302629988,0.8697756819722403,0.8697727126329978,0.6826181387844035,1.0358781213397412
55,693759.9239223462,23401.66068961875,1463.580071745829,3.132567166990107,0.595302226898232,0.8718073738292543,0.8718044321397826,0.6828391838260154,1.0355427513434892
