length,Bn
0,-0.709341071728
0.213125557975,-0.709138524894
0.42625111595,-0.709123836907
0.639376673925,-0.709044553857
0.852502231901,-0.709081826744
1.06562778988,-0.709065633145
1.27875334785,-0.70891668512
1.49187890583,-0.708916360111
1.7050044638,-0.708676365709
1.91813002178,-0.708660119013
2.13125557975,-0.708582078298
2.34438113773,-0.708310603959
2.5575066957,-0.708271127989
2.77063225368,-0.708164584821
2.98375781165,-0.707941626925
3.19688336963,-0.708020313836
3.4100089276,-0.707568177354
3.62313448558,-0.708247360482
3.83626004355,-0.670333030183
4.04938560153,-0.616791384795
4.2625111595,-0.511703028076
4.47563671748,-0.394491858866
4.68876227545,-0.272421055002
4.90188783343,-0.218571115382
5.1150133914,-0.156659175842
5.32813894938,-0.11721492182
5.54126450735,-0.0853483693527
5.75439006533,-0.0575818991355
5.9675156233,-0.0460078953181
6.18064118128,-0.0348242192685
6.39376673925,-0.0270541175189
6.60689229723,-0.0209184483437
6.8200178552,-0.0152027872101
7.03314341318,-0.00930146992936
7.24626897115,-0.00247229742919
7.45939452913,0.0065693495927
7.6725200871,0.0136236483801
7.88564564508,0.0140830164488
8.09877120306,0.0048394803453
8.31189676103,1.43947661339e-05
8.52502231901,-0.000639856801802
8.73814787698,-0.00105147278951
8.95127343496,-0.00113926372348
9.16439899293,-0.00113859142504
9.37752455091,-0.00113424483672
9.59065010888,-0.00113027270581
9.80377566686,-0.00112639700733
10.0169012248,-0.00112303170828
10.2300267828,-0.00111947520776
10.4431523408,-0.00111645575672
10.6562778988,-0.00111355330036
10.8694034567,-0.0011107519824
11.0825290147,-0.00110846702435
11.2956545727,-0.00110648015622
11.5087801307,-0.00110454121676
11.7219056886,-0.00110327181342
11.9350312466,-0.00110212960627
12.1481568046,-0.00110142589432
12.3612823626,-0.00110132166022
12.5744079205,-0.00110143010758
12.7875334785,-0.00110222971798
13.0006590365,-0.00110351514595
13.2137845945,-0.00110523008961
13.4269101524,-0.00110750838265
13.6400357104,-0.00111075375213
13.8531612684,-0.00111432623748
14.0662868264,-0.00111893112117
14.2794123843,-0.00112446800515
14.4925379423,-0.00113067834631
14.7056635003,-0.00113873762119
14.9187890583,-0.00114836762153
15.1319146162,-0.00116969293376
15.3450401742,-0.0012056273375
15.5581657322,-0.00128927615149
15.7712912902,-0.00171769142442
15.9844168481,0.00164929847304
16.1975424061,0.00881953209776
16.4106679641,0.0185953363134
16.6237935221,0.0286144969267
16.83691908,0.0388499448132
17.050044638,0.0496092091909
17.263170196,0.0615564123847
17.476295754,0.0751362550527
17.6894213119,0.091107734705
17.9025468699,0.113535649293
18.1156724279,0.142404241297
18.3287979859,0.162847336658
18.5419235438,0.156224185036
18.7550491018,0.128341778248
18.9681746598,0.120236253516
19.1813002178,0.139554708534
19.3944257757,0.180729618723
19.6075513337,0.218947361349
19.8206768917,0.22788891641
20.0338024497,0.202138975564
20.2469280076,0.195301672359
20.4600535656,0.204140408998
20.6731791236,0.226514430281
20.8863046816,0.265007740933
21.0994302395,0.33162054646
21.3125557975,0.443686725758
21.5256813555,0.605562382764
21.7388069135,0.653998784508
21.9519324714,0.679846752636
22.1650580294,0.683061357164
22.3781835874,0.682965902693
22.5913091454,0.683155064163
22.8044347033,0.6833762774
23.0175602613,0.68339151302
23.2306858193,0.683679336782
23.4438113773,0.68373397713
23.6569369352,0.683990461839
23.8700624932,0.684227378155
24.0831880512,0.684432511123
24.2963136092,0.684635323398
24.5094391671,0.684967704875
24.7225647251,0.685167659261
24.9356902831,0.68543987865
25.1488158411,0.685739274315
25.361941399,0.685833286784
25.575066957,0.686038288023
25.788192515,0.68607598685
26.001318073,0.686226985112
26.2144436309,0.686160469293
26.4275691889,0.686211294928
26.6406947469,0.686077502454
26.8538203049,0.686321865153
27.0669458628,0.687699254419
27.2800714208,0.688729280661
27.4931969788,0.685627106453
27.7063225368,0.669451338969
27.9194480947,0.532622340832
28.1325736527,0.375261959355
28.3456992107,0.289086607351
28.5588247687,0.243774636042
28.7719503266,0.221520394712
28.9850758846,0.211727405068
29.1982014426,0.207581563915
29.4113270006,0.210362652654
29.6244525585,0.22016541522
29.8375781165,0.238065417943
30.0507036745,0.264068049445
30.2638292325,0.300594095234
30.4769547904,0.352226581809
30.6900803484,0.426145458041
30.9032059064,0.548025771475
31.1163314644,0.75207273465
31.3294570223,1.04426764967
31.5425825803,1.24552409441
31.7557081383,1.14138977117
31.9688336963,0.839168983067
32.1819592542,0.617837141611
32.3950848122,0.475757616719
32.6082103702,0.383873815046
32.8213359282,0.330844660631
33.0344614861,0.304067532246
33.2475870441,0.277583596414
33.4607126021,0.277290187986
33.6738381601,0.280938913283
33.886963718,0.310140218656
34.100089276,0.359317388595
34.313214834,0.410288708567
34.526340392,0.530039281974
34.7394659499,0.657266421893
34.9525915079,0.744183573585
35.1657170659,0.812489600276
35.3788426239,0.874513001863
35.5919681818,0.877021786427
35.8050937398,0.877746036105
36.0182192978,0.877998129773
36.2313448558,0.878693814429
36.4444704137,0.87940247489
36.6575959717,0.880582685345
36.8707215297,0.882223532844
37.0838470877,0.884040232728
37.2969726456,0.886614903759
37.5100982036,0.889372552507
37.7232237616,0.892716812885
37.9363493196,0.896413395557
38.1494748775,0.900197115416
38.3626004355,0.904119490497
38.5757259935,0.907635484753
38.7888515515,0.910771331422
39.0019771094,0.914304352248
39.2151026674,0.916846402423
39.4282282254,0.938018443421
39.6413537834,0.792049624615
39.8544793414,0.60088394614
40.0676048993,0.437591268124
40.2807304573,0.341749336904
40.4938560153,0.293380472881
40.7069815733,0.264513428126
40.9201071312,0.247928577158
41.1332326892,0.241426592466
41.3463582472,0.242604079723
41.5594838052,0.251488093171
41.7726093631,0.268999465389
41.9857349211,0.299315642209
42.1988604791,0.349748493688
42.4119860371,0.424774122722
42.625111595,0.493077957838
42.838237153,0.654384456995
43.051362711,0.822880547228
43.264488269,1.00525947679
43.4776138269,1.15996984958
43.6907393849,1.11324312983
43.9038649429,1.09638944664
44.1169905009,1.08758677543
44.3301160588,1.08353577186
44.5432416168,1.07876272513
44.7563671748,1.06134256678
44.9694927328,1.03180190488
45.1826182907,0.812459845392
45.3957438487,0.610572601087
45.6088694067,0.458339486403
45.8219949647,0.364980968953
46.0351205226,0.308612148584
46.2482460806,0.277145517897
46.4613716386,0.259882202405
46.6744971966,0.253674212998
46.8876227545,0.257718681032
47.1007483125,0.273361549231
47.3138738705,0.303437881852
47.5269994285,0.357973088306
47.7401249864,0.458214782643
47.9532505444,0.6257493118
48.1663761024,0.79554833523
48.3795016604,0.929784243053
48.5926272183,0.930577927286
48.8057527763,0.932522192554
49.0188783343,0.932837268729
49.2320038923,0.933226397052
49.4451294502,0.934343947869
49.6582550082,0.935938384803
49.8713805662,0.938197661139
50.0845061242,0.94164551451
50.2976316821,0.945397023262
50.5107572401,0.950310091574
50.7238827981,0.956265673468
50.9370083561,0.964320895767
51.150133914,0.973457260038
51.363259472,0.971482549172
51.57638503,0.782827565032
51.789510588,0.557897606062
52.0026361459,0.422681199814
52.2157617039,0.344269376428
52.4288872619,0.300647687902
52.6420128199,0.275111169435
52.8551383778,0.260139346898
53.0682639358,0.255015896849
53.2813894938,0.258188706367
53.4945150518,0.270493959847
53.7076406097,0.292427931667
53.9207661677,0.325982309527
54.1338917257,0.374991281423
54.3470172837,0.444917788865
54.5601428416,0.552264514843
54.7732683996,0.712561101284
54.9863939576,0.964597548992
55.1995195156,1.17333962239
55.4126450735,1.16392070282
55.6257706315,1.12091717027
55.8388961895,1.08500549844
56.0520217475,1.06077093041
