case_id,hm_delta,hm_dr,hm_ds,ksat,b_av,b_delta1,b_delta,alpha_i,k_nm,k_w
3,236164.56602270223,95.31501667472888,70.76715445440716,1.0440386510332025,0.18648832508727795,0.291871975380262,0.2967731462620572,0.6283867911775436,1.1066894023157037,1.0167921941646154
4,265675.5625635651,111.53545905550199,77.29766780532982,1.0444082419447651,0.20990139764681198,0.3285064411539756,0.33385775823521263,0.6287150514529313,1.106658339618558,1.0162898391350834
2,206551.79743289668,82.83204517544196,63.50229931837251,1.044412568582568,0.16309532596116186,0.2552503743639446,0.2595606437603821,0.6283515235527236,1.1066489462495712,1.0168864371195467
1,176921.78777330497,73.58010227117902,54.84675352270045,1.0454629245951779,0.13974971868790914,0.21869567192292844,0.22232647549143497,0.6285788427986524,1.1065581675924359,1.0166020824124316
5,294957.8321913973,133.13058993204612,83.95023265802436,1.0458416222073175,0.23327005803830003,0.3650406691571721,0.37065494349250594,0.6293456006287325,1.10654035387401,1.0153798598613586
0,147385.44981964267,63.63098967553802,45.62468282916786,1.046367497539196,0.11647025862122123,0.18225183031949183,0.1852100185597666,0.6288550669500457,1.1064756499054593,1.0162313225337107
6,323673.10948734614,167.35705206501413,92.08272646777273,1.0497095669575218,0.2564688489114117,0.40125061613174834,0.40673962517200457,0.6305479796883684,1.106282625848425,1.0136797523033683
7,351505.341848391,222.76578454674907,102.25531575632341,1.057027341309811,0.2793317781253125,0.43684354760200805,0.44171463985938964,0.6323806206971808,1.105835637105325,1.0111506563027444
8,377794.2140610707,313.62687086989575,112.82251731698257,1.0691368589779353,0.3016173379914764,0.4713736421496324,0.47475021098519576,0.6353179651370008,1.1050806994590787,1.0071632533804076
9,401460.5855293567,467.01699429562206,124.47613581866008,1.0895633173647428,0.3229869859164925,0.5041965012034154,0.5044902504819535,0.6402244356713218,1.1038239328430524,1.0005826087206813
10,421586.8091486568,703.5645329697766,137.33451741648423,1.1204506077250715,0.34309693985805884,0.5346709970583078,0.529781608988713,0.6476195738711809,1.1019319725792702,0.9908553332862721
11,438220.85784946417,1015.0597718635352,151.51670239255455,1.160001293173343,0.36178766513632443,0.5625348111262304,0.5506845710678775,0.6569780308802776,1.0994630771918867,0.9789342102498013
12,451615.71202787646,1396.6054766633774,165.8474759525479,1.2072435153543972,0.378875580587834,0.5875057377458626,0.5675170412610001,0.6676021212437738,1.096479457719489,0.9659770191154985
13,462417.6161043749,1825.6545501799565,180.1453005817414,1.2592319627867026,0.39445408243435076,0.609806877182804,0.5810911142576037,0.6788162351067808,1.0931527832315373,0.9529100703851326
14,471569.7599096359,2304.006625110286,194.8591320719918,1.3161555192278136,0.4087184642115232,0.6298606398757379,0.5925920373548859,0.6897130545929927,1.0896956429845468,0.9408303993591272
15,479137.581183149,2779.427540573875,210.28104959107213,1.3718768945263493,0.42161833470623733,0.6476231664251041,0.6021020420415056,0.7002439873425529,1.086145205121983,0.9297104755611567
16,486016.34213513497,3280.3068014658284,225.85321765387752,1.4295806033206784,0.43339312651251977,0.6635898034757235,0.6107461479905294,0.7096125418694254,1.0826864139258043,0.9203669869422167
17,492448.77543863177,3795.0197585431647,241.74864083280102,1.4878156084280834,0.44415853892670143,0.6779973357500038,0.6188293820749181,0.7177399001926023,1.0793815084445717,0.9127312888189542
18,498503.5436563147,4327.628550080954,258.6797190100239,1.5472197117941136,0.4540525618570081,0.6910764612976583,0.6264380282156629,0.7248164086562959,1.0762296992740434,0.9064670312158779
19,504268.0766999656,4847.267237849802,275.72636944361335,1.6040443784662108,0.4631324733732414,0.7029599280262779,0.6336819540801865,0.7308594956684475,1.0732733301756587,0.9014481890303401
20,509961.516236009,5367.396073839397,293.74830227113245,1.6598622994996595,0.47156644866207514,0.7139076329306446,0.6408365412082232,0.7358607356768251,1.0704937338488256,0.8976462943497899
21,515505.432091386,5888.40388526525,312.8166700946824,1.7148924754622366,0.4793992272378133,0.7240153938968806,0.6478032313375721,0.7400383388763879,1.0679120149143875,0.8947368202365001
22,520781.4352290515,6405.083741428777,334.1506107086367,1.7689504269502263,0.48667433539435717,0.7333245652148577,0.6544332524166148,0.7436577123751321,1.06547383981924,0.8924196508061496
23,525864.5615255764,6914.713588904843,355.3833491883473,1.8214215397258524,0.4935263419935181,0.7420802451027196,0.6608208973087875,0.74683827948453,1.0632258683034999,0.8904978965142992
24,530761.6579551075,7432.481725779796,376.1256865316948,1.874036205722183,0.5000054604742771,0.7503378413791243,0.6669747701755617,0.7496617305968938,1.0611263631336885,0.888899284287274
25,535499.3877569233,7940.079907584838,400.798207303045,1.9253392344967337,0.5061487455205371,0.7581767482484352,0.672928377031593,0.7521584210094534,1.0591983577339152,0.8875613484404715
26,540040.1446067984,8439.306423839953,428.034167620341,1.9755041186882507,0.5119032998516952,0.7654973108250519,0.678634460376115,0.7543137428771103,1.0574034971473683,0.8865275563733643
27,544294.9612205846,8946.881027153504,454.59112766018745,2.0261915349474586,0.5173719967475656,0.772456158134233,0.6839812206226119,0.7564125755917891,1.055737440409881,0.8854628362011888
28,548238.29176852,9453.33854271957,480.4707988070667,2.0765004229020905,0.5224574851121029,0.7789116638084436,0.68893655593464,0.7583535531850467,1.054198159886767,0.8844861207574226
29,551963.2869126314,9952.900983405716,511.58497505458865,2.126439309604911,0.5272588927694994,0.7849920690281187,0.6936175228863991,0.7601579766545979,1.0527526852545686,0.8835981282526225
30,555447.449405621,10460.259947077426,542.5129265567746,2.1770239653089574,0.5317775878000162,0.7907374117762047,0.6979958506031549,0.7618635373555508,1.0514466928138497,0.8827150963241669
31,558784.3890331866,10970.142176189149,573.0327075074398,2.2275183588050718,0.5360619210457885,0.7962077794476398,0.7021891726109281,0.7634152475643654,1.0502591174216591,0.8819169954582257
32,561892.9606284992,11477.424078117832,603.8539889378608,2.277695602484906,0.5400765374316291,0.8013405320464413,0.7060955188857247,0.764877446445083,1.04917226536879,0.8811428982414224
33,564751.4413495515,11971.104318991185,637.4941658051047,2.326824433102298,0.543832377217366,0.8061231374661417,0.7096875916991993,0.7662982748722893,1.0481449079775056,0.8803711972961539
34,567429.9957374481,12485.143323741311,671.1652971091031,2.37801511997861,0.5474287557838062,0.8107208355756288,0.7130535624141019,0.767724592708633,1.0471978215027284,0.879530327980061
35,569932.0326814103,13003.379049321979,703.9157672234383,2.4294926964615806,0.5508415302710951,0.8150924733393996,0.7161977147669666,0.7691193631500564,1.0463216433749138,0.8786705045045191
36,572219.779982264,13492.806388017874,735.1596586882288,2.4779266349036773,0.5540404843365065,0.8191537718735564,0.7190725828124194,0.7704931290379015,1.0454636498630387,0.8778236852499222
37,574319.5500225214,14002.032549924897,767.529561223008,2.5286405726458288,0.5570926214623464,0.8230233132061605,0.7217112316654997,0.7719051568266974,1.044647413055049,0.8769025373704292
38,576362.0438328787,14515.871753062476,803.608511792059,2.5800485436558516,0.5600146674195543,0.8267522023791319,0.7242779050853481,0.7732041299169037,1.0439049594128258,0.8760519814777691
39,578385.0684672251,15060.957595819764,838.5757433018322,2.6342060201019883,0.5628315315225377,0.8303801297705254,0.7268201128170655,0.7743752843342101,1.0432383188179493,0.8752860127059174
40,580198.1376514748,15552.661429958001,872.7875388486743,2.683080520031596,0.5655109329352885,0.8338098449846545,0.7290984827489411,0.7756303795930645,1.0425839029291062,0.8744181747606488
41,581888.7999322595,16007.251984368288,904.6843613513583,2.727983184391932,0.5680532524816179,0.8370439152201441,0.731223031629347,0.7768536108823785,1.0419435607795495,0.8735778593373252
42,583596.31303951,16568.269219468148,939.9819767534626,2.783727285660566,0.5704811163877619,0.8401405968792484,0.7333687558828056,0.7778912202239038,1.0413475505815606,0.8729119371292697
43,585077.0018813721,17099.57432168475,976.7519664854277,2.837032799547794,0.5728047351098033,0.8430908091911496,0.735229444357944,0.7790829645159522,1.0407651888925744,0.8720643569383867
44,586565.1045029132,17581.961455737026,1014.406262689127,2.8852266187180056,0.5750543419984281,0.8459672419067997,0.7370994492633925,0.7801584203774655,1.0402306873036595,0.8713096828690192
45,587962.9653739961,18084.92828295298,1051.378282690406,2.935460003083653,0.5772302819626086,0.8487391333474829,0.7388560530407264,0.7812486337318958,1.0397049763360726,0.8705337411822048
46,589336.5027355907,18620.024270520527,1088.8443959202846,2.9888101674421317,0.5793227644251745,0.8514094247330709,0.7405820909945732,0.7822532727562537,1.039208908685395,0.8698307412168432
47,590642.765002986,19171.106024896035,1125.5699818370356,3.043657013621023,0.5813253253068418,0.8539647263176209,0.7422235885717373,0.7832213018525692,1.0387372140626694,0.869150171778497
48,591923.1949544133,19649.355514998573,1161.0769292944383,3.0909548378275833,0.5832616603230326,0.8564259967934676,0.7438326243032736,0.784130248211897,1.0382726503602404,0.8685311131238971
49,593214.1851602418,20176.726070276756,1203.907447673883,3.143729234190178,0.5851515829442476,0.8588484323559731,0.7454549304418684,0.7849590351456915,1.0378465481963959,0.8679702987836325
50,594455.2300642133,20736.423282828328,1246.3146495803007,3.199619326071531,0.5869736122985058,0.8611794662542629,0.7470144734631051,0.7857593569470461,1.0374330764588462,0.8674318219781489
51,595669.6596821444,21275.4793903855,1288.577474391516,3.2533164846274043,0.588739434197114,0.8634251716039392,0.7485405707295029,0.7865163990020582,1.0370186850502234,0.8669431878375502
52,596861.949986318,21754.40718794732,1332.0216513944592,3.301070600311347,0.5904481450418327,0.8655958655185748,0.7500388469137181,0.7872234184554922,1.0366172057867309,0.8665000340134169
53,598033.5757024916,22270.59809229196,1372.9967079601583,3.352113029072317,0.5921085199012225,0.8677129130097078,0.7515111552107933,0.7878905267016835,1.0362385682520734,0.8660827146205966
54,599209.6971563895,22802.427010927575,1415.9393101096146,3.4046992295270817,0.5937226302629988,0.8697756819722403,0.7529891130185111,0.7884876686768285,1.0358781213397412,0.8657279441419742
55,600443.8025990675,23401.66068961875,1463.580071745829,3.463993514674087,0.595302226898232,0.8718073738292543,0.7545399356555001,0.7889605291482262,1.0355427513434892,0.865489279290357
