case_id,ksat,alpha_i,k_nm,k_w
3,1.0440386510332025,0.6283867911775436,1.1066894023157037,1.0167921941646154
4,1.0444082419447651,0.6287150514529313,1.106658339618558,1.0162898391350834
2,1.044412568582568,0.6283515235527236,1.1066489462495712,1.0168864371195467
1,1.0454629245951779,0.6285788427986524,1.1065581675924359,1.0166020824124316
5,1.0458416222073175,0.6293456006287325,1.10654035387401,1.0153798598613586
0,1.046367497539196,0.6288550669500457,1.1064756499054593,1.0162313225337107
6,1.0497095669575218,0.6305479796883684,1.106282625848425,1.0136797523033683
7,1.057027341309811,0.6323806206971808,1.105835637105325,1.0111506563027444
8,1.0691368589779353,0.6353179651370008,1.1050806994590787,1.0071632533804076
9,1.0895633173647428,0.6402244356713218,1.1038239328430524,1.0005826087206813
10,1.1204506077250715,0.6476195738711809,1.1019319725792702,0.9908553332862721
11,1.160001293173343,0.6569780308802776,1.0994630771918867,0.9789342102498013
12,1.2072435153543972,0.6676021212437738,1.096479457719489,0.9659770191154985
13,1.2592319627867026,0.6788162351067808,1.0931527832315373,0.9529100703851326
14,1.3161555192278136,0.6897130545929927,1.0896956429845468,0.9408303993591272
15,1.3718768945263493,0.7002439873425529,1.086145205121983,0.9297104755611567
16,1.4295806033206784,0.7096125418694254,1.0826864139258043,0.9203669869422167
17,1.4878156084280834,0.7177399001926023,1.0793815084445717,0.9127312888189542
18,1.5472197117941136,0.7248164086562959,1.0762296992740434,0.9064670312158779
19,1.6040443784662108,0.7308594956684475,1.0732733301756587,0.9014481890303401
20,1.6598622994996595,0.7358607356768251,1.0704937338488256,0.8976462943497899
21,1.7148924754622366,0.7400383388763879,1.0679120149143875,0.8947368202365001
22,1.7689504269502263,0.7436577123751321,1.06547383981924,0.8924196508061496
23,1.8214215397258524,0.74683827948453,1.0632258683034999,0.8904978965142992
24,1.874036205722183,0.7496617305968938,1.0611263631336885,0.888899284287274
25,1.9253392344967337,0.7521584210094534,1.0591983577339152,0.8875613484404715
26,1.9755041186882507,0.7543137428771103,1.0574034971473683,0.8865275563733643
27,2.0261915349474586,0.7564125755917891,1.055737440409881,0.8854628362011888
28,2.0765004229020905,0.7583535531850467,1.054198159886767,0.8844861207574226
29,2.126439309604911,0.7601579766545979,1.0527526852545686,0.8835981282526225
30,2.1770239653089574,0.7618635373555508,1.0514466928138497,0.8827150963241669
31,2.2275183588050718,0.7634152475643654,1.0502591174216591,0.8819169954582257
32,2.277695602484906,0.764877446445083,1.04917226536879,0.8811428982414224
33,2.326824433102298,0.7662982748722893,1.0481449079775056,0.8803711972961539
34,2.37801511997861,0.767724592708633,1.0471978215027284,0.879530327980061
35,2.4294926964615806,0.7691193631500564,1.0463216433749138,0.8786705045045191
36,2.4779266349036773,0.7704931290379015,1.0454636498630387,0.8778236852499222
37,2.5286405726458288,0.7719051568266974,1.044647413055049,0.8769025373704292
38,2.5800485436558516,0.7732041299169037,1.0439049594128258,0.8760519814777691
39,2.6342060201019883,0.7743752843342101,1.0432383188179493,0.8752860127059174
40,2.683080520031596,0.7756303795930645,1.0425839029291062,0.8744181747606488
41,2.727983184391932,0.7768536108823785,1.0419435607795495,0.8735778593373252
42,2.783727285660566,0.7778912202239038,1.0413475505815606,0.8729119371292697
43,2.837032799547794,0.7790829645159522,1.0407651888925744,0.8720643569383867
44,2.8852266187180056,0.7801584203774655,1.0402306873036595,0.8713096828690192
45,2.935460003083653,0.7812486337318958,1.0397049763360726,0.8705337411822048
46,2.9888101674421317,0.7822532727562537,1.039208908685395,0.8698307412168432
47,3.043657013621023,0.7832213018525692,1.0387372140626694,0.869150171778497
48,3.0909548378275833,0.784130248211897,1.0382726503602404,0.8685311131238971
49,3.143729234190178,0.7849590351456915,1.0378465481963959,0.8679702987836325
50,3.199619326071531,0.7857593569470461,1.0374330764588462,0.8674318219781489
51,3.2533164846274043,0.7865163990020582,1.0370186850502234,0.8669431878375502
52,3.301070600311347,0.7872234184554922,1.0366172057867309,0.8665000340134169
53,3.352113029072317,0.7878905267016835,1.0362385682520734,0.8660827146205966
54,3.4046992295270817,0.7884876686768285,1.0358781213397412,0.8657279441419742
55,3.463993514674087,0.7889605291482262,1.0355427513434892,0.865489279290357
